states,year,quarter,trans_type,trans_counts,amount,district
andaman-&-nicobar-islands,2018,1,Recharge & bill payments,4200,1845307.467365509,
andaman-&-nicobar-islands,2018,1,Peer-to-peer payments,1871,12138655.299749982,
andaman-&-nicobar-islands,2018,1,Merchant payments,298,452507.168646613,
andaman-&-nicobar-islands,2018,1,Financial Services,33,10601.419933464951,
andaman-&-nicobar-islands,2018,1,Others,256,184689.8662902223,
andaman-&-nicobar-islands,2018,2,Recharge & bill payments,6735,2320944.731074479,
andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,3575,24511925.23104766,
andaman-&-nicobar-islands,2018,2,Merchant payments,603,1024491.0133579008,
andaman-&-nicobar-islands,2018,2,Financial Services,59,121336.0270987509,
andaman-&-nicobar-islands,2018,2,Others,368,359838.50537474576,
andaman-&-nicobar-islands,2018,3,Recharge & bill payments,8636,4343504.868377829,
andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,6448,49270781.54163504,
andaman-&-nicobar-islands,2018,3,Merchant payments,945,1627359.8394868043,
andaman-&-nicobar-islands,2018,3,Financial Services,42,1481.4907042806483,
andaman-&-nicobar-islands,2018,3,Others,194,314343.39410715323,
andaman-&-nicobar-islands,2018,4,Recharge & bill payments,11517,5450549.512294375,
andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,10451,81001456.97825177,
andaman-&-nicobar-islands,2018,4,Merchant payments,1421,3552027.735492656,
andaman-&-nicobar-islands,2018,4,Financial Services,29,76035.7877393286,
andaman-&-nicobar-islands,2018,4,Others,340,468266.0606770435,
andaman-&-nicobar-islands,2019,1,Recharge & bill payments,15263,6611459.872972583,
andaman-&-nicobar-islands,2019,1,Peer-to-peer payments,13119,91808345.86839552,
andaman-&-nicobar-islands,2019,1,Merchant payments,1759,3266589.8469614363,
andaman-&-nicobar-islands,2019,1,Financial Services,62,116250.436718611,
andaman-&-nicobar-islands,2019,1,Others,283,497094.6484417205,
andaman-&-nicobar-islands,2019,2,Recharge & bill payments,14676,7242448.256212333,
andaman-&-nicobar-islands,2019,2,Peer-to-peer payments,14481,107525358.6665284,
andaman-&-nicobar-islands,2019,2,Merchant payments,4031,4702152.616619372,
andaman-&-nicobar-islands,2019,2,Financial Services,124,113278.91371326068,
andaman-&-nicobar-islands,2019,2,Others,377,671471.222589792,
